author,persona0,persona1,persona2,persona3
1148,0.6258639,0.1148558,0.1370146,0.1222657
1162,0.0833333,0.083354,0.7341012,0.0992114
1194,0.0833333,0.0840154,0.7469163,0.085735
126,0.0416667,0.0428065,0.0500965,0.8654303
1283,0.1702739,0.273074,0.0639642,0.4926878
1286,0.3102454,0.2849462,0.1770203,0.2277881
1372,0.0833333,0.0837697,0.0833333,0.7495636
1378,0.1122659,0.0833335,0.0833333,0.7210673
1394,0.0833346,0.6255154,0.0833532,0.2077968
140,0.3864191,0.1810101,0.3739415,0.0586292
1402,0.0625,0.741949,0.0625,0.133051
1416,0.0833334,0.1325485,0.0833334,0.7007848
1417,0.0833464,0.0835959,0.6216081,0.2114496
1423,0.743099,0.1730582,0.0416818,0.0421609
1431,0.063074,0.2418933,0.3765487,0.3184841
144,0.0501925,0.8461831,0.0511941,0.0524303
1440,0.0833333,0.0842378,0.7470592,0.0853696
1485,0.0833333,0.0836876,0.7448616,0.0881174
1486,0.0988251,0.2965974,0.0833491,0.5212285
1536,0.6190643,0.0673847,0.0503054,0.2632456
1572,0.0625155,0.4130471,0.3144979,0.2099395
1622,0.4825252,0.0763145,0.131749,0.3094113
1632,0.0403207,0.9212756,0.024992,0.0134117
1640,0.1210412,0.1175738,0.0833333,0.6780516
1641,0.125,0.1288629,0.125,0.6211371
1652,0.0833333,0.0862521,0.0965531,0.7338614
1654,0.1607617,0.7496226,0.0540434,0.0355722
1678,0.0833527,0.6167956,0.083336,0.2165157
1694,0.092656,0.0625,0.0626216,0.7822223
1703,0.8460226,0.0324383,0.1142358,0.0073033
1750,0.915469,0.0212566,0.0389904,0.024284
181,0.0833333,0.7478946,0.0833333,0.0854387
1814,0.125,0.1322478,0.1250006,0.6177516
1825,0.2035982,0.5684478,0.0654996,0.1624544
1826,0.4997388,0.0849299,0.0833353,0.331996
183,0.2809809,0.6347139,0.0417439,0.0425613
1843,0.3643328,0.0380684,0.3816629,0.2159359
1845,0.0833333,0.6691054,0.0833335,0.1642278
1856,0.0627024,0.5855343,0.1968366,0.1549266
19,0.0580456,0.4704083,0.033303,0.4382431
1919,0.0625,0.0634632,0.0625,0.8115368
1970,0.0743745,0.0550534,0.0995276,0.7710444
199,0.125,0.1269222,0.125,0.6230778
1998,0.0841693,0.7058583,0.1002209,0.1097514
2001,0.2261657,0.0318464,0.7016166,0.0403713
2014,0.0833333,0.7166502,0.0833333,0.1166831
202,0.2650073,0.3317655,0.2993682,0.103859
2043,0.7247542,0.10093,0.0918201,0.0824957
2069,0.9146181,0.0280141,0.0294458,0.0279221
2126,0.0833333,0.0834218,0.7388961,0.0943488
2127,0.5048471,0.0277846,0.4341842,0.0331841
2144,0.6393329,0.0484067,0.2036258,0.1086347
2146,0.7312784,0.0839688,0.0833333,0.1014195
2168,0.6073496,0.0849659,0.0833343,0.2243502
2216,0.0802405,0.493312,0.20011,0.2263375
2235,0.0311148,0.0571536,0.5403027,0.3714289
2243,0.0625,0.0626637,0.0882212,0.7866151
2254,0.0833337,0.2536448,0.0833349,0.5796867
2264,0.2487007,0.205702,0.2327967,0.3128006
2278,0.0833333,0.0833339,0.7099989,0.1233339
2300,0.4031711,0.3310499,0.0402788,0.2255001
2325,0.241017,0.1453774,0.5054131,0.1081925
2332,0.8852812,0.0492923,0.0333122,0.0321143
2345,0.4448213,0.0952027,0.4280359,0.0319401
2357,0.1250033,0.1252818,0.1250001,0.6247148
2362,0.0833333,0.088925,0.0833334,0.7444083
2401,0.8850719,0.0610893,0.0287648,0.025074
26,0.125,0.1392925,0.1250001,0.6107075
262,0.0625218,0.1957847,0.4806526,0.2610409
29,0.1717404,0.1957153,0.3338039,0.2987404
303,0.0833333,0.1061053,0.0833333,0.7272281
321,0.6194549,0.1087923,0.0833344,0.1884184
367,0.0625,0.1105605,0.0625,0.7644395
377,0.4402612,0.0456851,0.4743744,0.0396793
398,0.697827,0.089556,0.0833333,0.1292837
427,0.0417078,0.0494414,0.0417046,0.8671462
455,0.0833333,0.7288157,0.0833336,0.1045174
465,0.7401041,0.0931821,0.0833333,0.0833805
500,0.5116958,0.4220296,0.0308619,0.0354127
551,0.0590895,0.8247678,0.0409209,0.0752218
585,0.0181053,0.9294485,0.0339743,0.0184719
589,0.125,0.126704,0.125,0.6232959
604,0.5458987,0.0631617,0.0508368,0.3401028
63,0.8646927,0.0416668,0.0428865,0.050754
633,0.7472892,0.0422563,0.167922,0.0425326
639,0.0833337,0.4767256,0.083461,0.3564797
653,0.0656546,0.8093213,0.0625001,0.062524
669,0.0833333,0.7203069,0.0833333,0.1130264
679,0.04249,0.0437937,0.0458645,0.8678518
729,0.0661898,0.5246219,0.3062616,0.1029267
735,0.1506551,0.1101945,0.0833333,0.6558171
740,0.7376751,0.1718798,0.0479947,0.0424503
792,0.567042,0.0903937,0.083334,0.2592303
804,0.3404981,0.5746146,0.0494896,0.0353978
81,0.8395148,0.0466865,0.042215,0.0715837
812,0.1250022,0.1251049,0.125,0.6248929
833,0.8754004,0.0098206,0.104806,0.0099729
920,0.0625001,0.0630174,0.1088104,0.765672
931,0.6158135,0.2107043,0.0833334,0.0901487
934,0.0833333,0.1399427,0.0833333,0.6933906
94,0.332827,0.3473876,0.2817652,0.0380202
942,0.0833333,0.7462321,0.0833333,0.0871013
985,0.0833334,0.0833374,0.0941762,0.7391529
1047,0.1413595,0.0833333,0.6919653,0.0833419
1070,0.9189763,0.0290472,0.0292261,0.0227505
1091,0.0500583,0.0507448,0.8491785,0.0500184
1102,0.047607,0.0306768,0.8938,0.0279162
1156,0.5131079,0.0369246,0.4138576,0.0361099
1157,0.425491,0.1849099,0.3122269,0.0773723
1185,0.1563864,0.0662542,0.7115415,0.0658179
1325,0.0911392,0.0625007,0.7820878,0.0642724
1333,0.0634411,0.0625009,0.8112909,0.0627671
135,0.1575844,0.428203,0.2762862,0.1379264
1390,0.0834212,0.086176,0.7469138,0.0834891
141,0.0415857,0.0819855,0.8026682,0.0737606
1452,0.0833333,0.236308,0.5970251,0.0833335
1455,0.3949155,0.0833336,0.4384149,0.083336
1476,0.0833335,0.3175308,0.5158022,0.0833335
1558,0.1290232,0.0833333,0.7043101,0.0833333
1609,0.4702992,0.0553185,0.4140862,0.0602962
