Name,Id,Docs,Size
P   Tass,1757,"[22350536, 22414611, 22493570, 25309309, 25741316, 26568958, 27718349, 22781703, 22846637, 28652968]",10
P   Wang,1760,"[23909116, 25752112, 27413554, 27776655, 28188881, 28689008]",6
P   Zhao,1764,"[26072165, 27371963, 24360038, 24360040, 25698187, 27736970, 24731461, 25845808, 25991486, 27413554, 27776655, 28188881, 28941768, 28984171, 29764198, 31900891, 32880675]",17
Q   Zhang,1775,"[19160857, 26938213, 33019447]",3
R   Arts,1781,"[26402713, 27140029, 22931903, 25090456, 26227468, 27111333, 29188740, 29507954, 31958686]",9
R   Bal,1782,"[26915149, 26925138]",2
R   Bennett,1784,"[27240696, 32823204]",2
R   Bressan,1789,"[24516567, 26747258]",2
R   Cima,1793,"[29713758, 19210767, 31912887, 21221004, 21336139, 21399500, 22633033, 23411656, 23777191, 24622860, 24829038, 27250987, 27594824, 29133012, 29375369, 30998546, 31969359]",17
R   Eikelboom,1799,"[22249869, 21936710, 27240696, 32823204]",4
R   Figueiredo,1801,"[17956816, 21493265, 22302057, 22541838, 22789414, 23049821, 24422941, 24498000, 16612523, 17684665, 17956791, 18359360, 19488564, 19574947, 20835541, 21739001, 25190255, 25303817, 27761128, 28983279, 29339026, 31753780]",22
R   Free,1804,"[20962699, 26255618, 27867121, 27911239, 28421030, 29167796, 30739109, 31201186, 31568135, 32894830]",10
R   Frisina,1805,"[27354478, 30952644]",2
R   Granjeiro,1807,"[18359362, 18559734, 23314160, 26424781, 27186933, 30296843, 25992175]",7
R   Hamilton,1812,"[27354478, 30952644]",2
R   Hannemann,1813,"[23367193, 26736670, 31037231, 31805822]",4
R   Hertzano,1815,"[26427834, 24270723, 27154603, 29756346, 31795683]",5
R   Humphriss,1818,"[11144832, 21940981, 26804253, 16151359, 16436993, 17077869]",6
R   Johansson,1820,"[10908984, 17888810, 26086944, 28415897, 29188734, 27114881]",6
R   Li,1829,"[27413554, 27776655, 28188881, 29997192]",4
R   Longenecker,1832,"[22513102, 27832500, 30822633, 21667173, 25279331, 27826232]",6
R   Maire,1834,"[16300280, 26619701, 27663095, 26198363, 28154796, 28168599, 29942120]",7
R   Mehta,1842,"[27250987, 28841725, 29466545, 29490515]",4
R   Oostendorp,1852,"[26749460, 26971019]",2
R   Pierzycki,1858,"[23842505, 26584760, 27438865, 30880643, 32568801]",5
R   Pryss,1860,"[28018210, 28824415, 29375369, 30177869, 26853815, 27488227, 30871820, 32204540, 32808939]",9
R   Rupprecht,1866,"[22383902, 22789414, 23229756, 23435735, 23968498, 24409317, 24898574, 24991438, 24996510, 26667790, 26927363, 28428769, 29515350, 31439873]",14
R   Stokroos,1877,"[25758066, 26402713, 22931903, 25090456, 26227468, 26255618, 26958429, 27111333, 27140029, 27592136, 27994936, 29167796, 29188740, 29507954, 29895652, 30102446, 30868944, 31958686, 32102813]",19
R   Teggi,1879,"[18843180, 25753907, 27197727]",3
R   Tonocchi,1880,"[27488995, 28452715]",2
R   Trollmann,1881,"[26054729, 27995315]",2
R   Tyler,1883,"[12806303, 16514258, 17114142, 17956782, 17956807, 17956814, 18519577, 20333263, 19842803, 19949236, 22353680, 22609540, 22849609, 25273878, 25274374, 26001407, 26649850, 28614844, 29192507, 30105356, 30938560, 31210635, 17922346, 17956792, 19056922, 23598691, 24811293, 25026936, 26622950, 27564443, 27681261, 28931943, 31021659, 31580805, 32323291, 32381342]",36
R   Wunderlich,1890,"[25441152, 24581050, 25690779, 25951605, 26583114, 26987755, 29551983, 32106112]",8
R   Zarenoe,1891,"[24765828, 22652486, 27564444, 28240981]",4
R   Zeng,1892,"[24032538, 24360038, 24731461, 26020395, 27413554, 27736970, 27776655, 28188881, 28941768, 29764198, 32762753]",11
S   Akyüz,1897,"[24798434, 27144229]",2
A   Cesarani,19,"[16514260, 14763222, 15379358, 17691666, 24995895, 25773105, 27372169]",7
S   Ardeshir-Rouhani-Fard,1903,"[27354478, 30952644]",2
S   Bae,1905,"[23053375, 23918695, 24296263, 24353860, 27161899, 25729489, 24162769, 17368031]",8
S   Baek,1906,"[23781982, 27716604]",2
S   Bisconti,1911,"[27042360, 28604786]",2
S   Braga,1912,"[25992175, 27186933]",2
S   Büchi,1916,"[25276437, 27001548]",2
S   Cai,1917,"[25872506, 31190502, 27509615]",3
A   Wollbrink,192,"[25441152, 24581050, 24587113, 24895541, 25951605, 26583114, 26987755, 29551983, 31664058, 32106112]",10
S   Dogan,1934,"[21595618, 26899282, 31214827]",3
S   Elzayat,1937,"[27245783, 29993218]",2
S   Forti,1944,"[19372645, 21090162, 18722219, 19248952, 21070123, 21592701, 27372169]",7
S   Fossa,1945,"[27354478, 30952644]",2
S   Gong,1952,"[31852197, 24360038, 19489274, 22941756, 24032538, 26020395, 27736970, 23550183, 23601773, 24731461, 27413554, 27776655, 28188881, 28941768, 29764198, 30946875, 31663989, 31900891, 32880675]",19
S   Griest,1954,"[11032291, 11283496, 17956815, 17114146, 12792317, 18599500, 19205163, 22156949, 23373742, 28183355, 28215378, 30901434, 32362561, 16640064, 23341277, 24603542, 25144174, 25365366, 25211767, 25551458, 26074306, 26181507, 27315442, 27438870, 28418492, 28590898]",26
S   Han,1961,"[31079444, 22626945, 27812001]",3
S   Henin,1966,"[21376109, 27832140]",2
S   Hodgson,1968,"[26817495, 27915580]",2
S   Hong,1970,"[15608399, 24914798, 26020239, 27725178, 29097049, 29176873]",6
S   Hwang,1974,"[26147195, 11276338, 32249815, 32291135, 32249815, 32291135, 27626082, 26330911, 26622950, 26330911]",10
S   Irving,1978,"[26306658, 26817495]",2
S   Kim,1988,"[23580003, 30485375, 26317661, 27340987, 29360090, 24653899, 24953134, 30370238, 23781982, 24653894, 17945678, 27351198, 27381994, 24914798, 26020239, 26197352, 26745481, 27023015, 27525714, 27774600, 27979609, 26700250, 30256201, 30799211, 32784160, 24653921, 20072690, 25733998, 27626082, 26700250, 29360090]",31
S   Kimball,1989,"[31430190, 27991466]",2
S   Konadath,1993,"[26989651, 27904821]",2
S   Kumar,1999,"[32909723, 31750136, 29457604, 22975389, 25913402, 27871729, 23906828, 29993213]",8
A   Adoga,2,"[18390143, 18390143, 27186929]",3
S   Lee,2001,"[27930870, 29314140, 17368031, 26197352, 27381994, 28826043, 30624401, 31079444, 31680845, 32955464, 28572760, 29487513, 30287741, 24983712, 22283490, 18312892, 20633385, 21331784, 23881235, 28698314, 23580003, 24953134, 29324903, 25319676, 15608399, 17945678, 24215217, 20072690, 31905965, 24653921, 23154938, 23516401, 25871611]",33
S   Li,2003,"[27838685, 22883005, 27349391, 27400113, 17313007, 23716673, 26312501, 30879191, 31925625, 28641038]",10
S   Lund,2005,"[18307090, 27987033]",2
S   Michiels,2015,"[27592038, 28286241, 25056151, 25415466, 26045606, 26749460, 26971019, 30213235, 30314506, 30978269, 31364603, 31498295, 31498298, 31514042, 32150992, 32477049]",16
S   Morgan,2020,"[21220097, 22493571, 22982009, 27091485]",4
S   Orenay-Boyacioglu,2031,"[27180191, 28615544, 31041673]",3
S   Otto,2032,"[27755361, 31800110]",2
S   Park,2033,"[21054911, 25466808, 27725178, 23448323, 21331784, 21922976, 22977715, 23053375, 23918695, 24162769, 24296263, 24353860, 27161899, 30690946, 25729489, 27132067, 27234666, 27569409, 28224644, 29043888, 29649793, 29879090, 32176148, 32269003, 24296263, 24353860, 25729489, 27132067, 29043888, 29649793, 32176148, 32269003, 24339282, 26413577, 26449560, 29422923, 28990828, 30624401]",38
S   Rabau,2041,"[25654947, 24395086, 26339968, 26554670, 27250987, 27445661]",6
S   Rosing,2045,"[27259524, 27619040]",2
B   Blakley,205,"[25273878, 25274374, 27295447]",3
S   Shore,2059,"[19056923, 21620940, 21068300, 22666193, 24336728, 25392166, 26074307, 26289461, 26865628, 26868680, 29298868, 30217755, 30236972, 30471164, 31271756, 17956776, 22302808, 22434653]",18
S   Smith,2064,"[30261766, 30452754, 21087449, 21707872, 21733188, 22788751, 23082396, 25215617, 25587668, 29642913, 30482102, 30672739, 21993049, 26950001, 30938560]",15
