author,persona0,persona1,persona2,persona3
638,0.8060705,0.0626692,0.0687261,0.0625341
64,0.0629811,0.064761,0.8038964,0.0683616
642,0.7427746,0.0833588,0.0905332,0.0833333
65,0.6942525,0.0861013,0.1363128,0.0833334
666,0.0840812,0.0833463,0.7487891,0.0837834
672,0.0839558,0.0833923,0.7493159,0.083336
677,0.1252518,0.2230179,0.5267303,0.125
679,0.8093691,0.0625011,0.0656288,0.062501
681,0.6595615,0.0844137,0.171971,0.0840538
683,0.1911379,0.1319597,0.5755441,0.1013583
688,0.1973468,0.0643536,0.3666413,0.3716583
689,0.0625039,0.0703984,0.8045977,0.0625
690,0.0915854,0.024575,0.5953134,0.2885261
693,0.0710463,0.05,0.8288846,0.0500691
703,0.0374636,0.0364831,0.4588782,0.4671751
711,0.1250544,0.1373009,0.6126447,0.125
712,0.0642433,0.0627782,0.8104784,0.0625
716,0.0419057,0.0439416,0.8724844,0.0416683
719,0.4053792,0.0626846,0.4562606,0.0756755
722,0.0833337,0.0957892,0.6703077,0.1505694
728,0.7466191,0.0877714,0.1031095,0.0625
732,0.806597,0.0625017,0.0684012,0.0625002
758,0.1783931,0.0251634,0.7513714,0.0450721
759,0.046967,0.0357824,0.8364155,0.080835
761,0.3131621,0.2919658,0.3431854,0.0516867
77,0.1626804,0.5789882,0.1333314,0.125
771,0.0335412,0.0312976,0.9038997,0.0312615
777,0.1266736,0.2959153,0.4524111,0.125
78,0.3350838,0.056856,0.5580233,0.050037
780,0.8403221,0.0500629,0.059615,0.05
781,0.4462095,0.0140114,0.4203927,0.1193863
795,0.0504136,0.050074,0.8495118,0.0500005
8,0.1393041,0.4987936,0.2369023,0.125
803,0.0833977,0.127745,0.705524,0.0833333
807,0.0833659,0.0859713,0.7472552,0.0834076
811,0.0648994,0.03392,0.8477436,0.053437
818,0.0833426,0.0855731,0.7477509,0.0833333
821,0.7285976,0.0852269,0.1028422,0.0833333
824,0.8546485,0.0574392,0.0462457,0.0416667
827,0.0833343,0.7491388,0.0841935,0.0833333
828,0.7164955,0.0834091,0.1167621,0.0833333
832,0.6689448,0.0365762,0.2017048,0.0927741
833,0.9105471,0.0291276,0.032239,0.0280862
835,0.1254392,0.1253934,0.6241675,0.125
842,0.7417427,0.0834122,0.0915118,0.0833333
843,0.0872419,0.0636348,0.7866233,0.0625
844,0.0671122,0.0702088,0.8128574,0.0498217
847,0.6857199,0.0504408,0.2138294,0.0500099
848,0.0485574,0.0277855,0.893208,0.0304492
853,0.3869356,0.0875514,0.4401928,0.0853201
